"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-01","0.00","84","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-02","0.00","82","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-03","1.09","81","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-04","0.00","76","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-05","0.00","71","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-06","0.00","78","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-07","0.00","79","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-08","1.23","72","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-09","0.00","87","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-10","0.00","80","64"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-11","0.00","83","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-12","0.01","82","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-13","0.00","88","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-14","0.00","88","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-15","0.00","88","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-16","0.00","88","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-17","1.04","88","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-18","0.00","84","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-19","0.00","85","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-20","0.00","89","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-21","0.00","93","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-22","0.39","87","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-23","0.00","83","67"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-24","0.00","88","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-25","0.00","88","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-26","0.00","90","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-27","0.00","91","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-28","0.13","89","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-29","0.00","85","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-30","0.00","89","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-05-31","0.00","93","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-01","0.00","91","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-02","0.00","91","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-03","0.00","93","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-04","0.00","95","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-05","0.00","94","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-06","0.00","93","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-07","0.00","93","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-08","0.00","93","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-09","0.00","93","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-10","0.00","91","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-11","0.00","93","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-12","0.00","91","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-13","0.02","93","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-14","0.11","93","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-15","0.00","95","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-16","0.00","93","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-17","0.00","95","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-18","0.00","97","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-19","0.00","97","78"
