"","MONTH","PRCP","TMAX","TMIN","TAVG","Pneumonia_and_Flu_Deaths","All_Deaths"
"244","1982-04",3.58,74.2142857142857,58.6071428571428,66.4107142857143,27,1389
"245","1982-05",6.53,82.4285714285714,65.5142857142857,73.9714285714286,26,2002
"246","1982-06",6.29,91.6785714285714,72,81.8392857142857,18,1243
"247","1982-07",1.51,92.9428571428572,74.4571428571428,83.7,39,1558
"248","1982-08",4.76,93.4642857142857,75.2857142857143,84.375,13,1175
"249","1982-09",1.89,90.7857142857143,72.75,81.7678571428572,26,1261
"250","1982-10",1.7,81.2571428571429,62.1142857142857,71.6857142857143,49,1525
"251","1982-11",6.11,71.7142857142857,53.8928571428572,62.8035714285714,13,899
"252","1982-12",4.81,68.7857142857143,49.3214285714286,59.0535714285715,30,1165
"253","1983-01",2.99,58.6857142857143,41.9714285714286,50.3285714285714,30,1472
"254","1983-02",6.64,62.6785714285714,45.9285714285714,54.3035714285714,51,1841
"255","1983-03",3.67,69.25,48.1785714285714,58.7142857142857,53,1506
"256","1983-04",0.41,74.0285714285714,55.2571428571429,64.6428571428571,38,1680
"257","1983-05",5.5,82.3571428571429,64.9642857142857,73.6607142857143,23,948
"258","1983-06",3.84,87.3571428571428,69.8571428571429,78.6071428571428,19,969
"259","1983-07",7.79,90.7714285714286,74.4571428571429,82.6142857142857,46,1773
"260","1983-08",11.87,90.1428571428572,75.0714285714286,82.6071428571429,20,1092
"261","1983-09",9,86.6071428571428,71.1071428571429,78.8571428571428,18,897
"262","1983-10",2.53,81.8571428571429,63.0571428571429,72.4571428571429,42,2144
"263","1983-11",3.79,74.7142857142857,56.9285714285714,65.8214285714286,20,1032
"264","1983-12",3.98,56.4,39.0285714285715,47.7142857142857,19,1297
"265","1984-01",3.98,55.8571428571428,40.1428571428572,48,47,1364
"266","1984-02",2.86,67.0357142857143,46.9642857142857,57,51,1675
"267","1984-03",2.39,70.8285714285714,52.5142857142857,61.6714285714286,66,1667
"268","1984-04",0.13,80.3571428571428,58.6428571428571,69.5,34,1244
"269","1984-05",2.39,85.8571428571429,67.8571428571429,76.8571428571429,28,1223
"270","1984-06",3.03,87.7142857142857,70.1142857142857,78.9142857142857,28,1484
"271","1984-07",4.82,91.8571428571429,73.3214285714286,82.5892857142857,18,1147
"272","1984-08",7.64,90.3571428571429,73.3214285714286,81.8392857142857,12,1066
"273","1984-09",5.39,86.7142857142857,70.6571428571429,78.6857142857143,32,1597
"274","1984-10",10.84,81.4642857142857,66.5714285714286,74.0178571428572,29,1210
"275","1984-11",2.65,73.3571428571428,54.8928571428572,64.125,22,1071
"276","1984-12",2.51,72.2571428571429,55.4285714285714,63.8428571428571,27,1402
"277","1985-01",2.78,57.1785714285714,39.5357142857143,48.3571428571428,38,1136
"278","1985-02",5.74,60.6785714285714,43.2142857142857,51.9464285714286,63,1665
"279","1985-03",7.16,72.5142857142857,58.6571428571429,65.5857142857143,68,1990
"280","1985-04",0.87,79.0357142857143,61.7857142857143,70.4107142857143,47,1219
"281","1985-05",1.52,84.8928571428571,69.0357142857143,76.9642857142857,32,1286
"282","1985-06",4.86,89.6285714285714,73.6571428571429,81.6428571428571,36,1373
"283","1985-07",3.47,89.2142857142857,72.75,80.9821428571428,25,1172
"284","1985-08",2.37,92.3142857142857,74.0857142857143,83.2,32,1724
"285","1985-09",2.99,88.5,73.1428571428572,80.8214285714285,27,1109
"286","1985-10",4.86,81.75,67.4642857142858,74.6071428571428,21,1197
"287","1985-11",9.36,73.8,59.8285714285714,66.8142857142857,33,1473
"288","1985-12",2.65,60.9285714285714,43.1785714285714,52.0535714285714,22,960
"289","1986-01",1.11,65.3214285714286,46.6071428571429,55.9642857142857,18,942
"290","1986-02",2.71,68.7142857142857,51.7142857142857,60.2142857142857,28,1134
"291","1986-03",1.5,75.2857142857143,53.8,64.5428571428571,84,2377
"292","1986-04",1.08,79.2857142857143,62,70.6428571428572,48,1591
"293","1986-05",3.9,83.3714285714286,68.3142857142857,75.8428571428571,42,1580
"294","1986-06",10.1,88.7142857142857,74.1071428571428,81.4107142857143,20,1032
"295","1986-07",0.23,93.6428571428572,75.5357142857143,84.5892857142857,26,1372
"296","1986-08",4.75,92.4857142857143,75.2285714285714,83.8571428571429,37,1544
"297","1986-09",6.34,88.3214285714286,75.6428571428572,81.9821428571428,28,1030
"298","1986-10",5.98,79.5357142857143,65.5,72.5178571428572,30,1250
"299","1986-11",9.48,71.2285714285714,57.2285714285714,64.2285714285714,38,1488
"300","1986-12",6.64,60.1071428571428,47.3214285714286,53.7142857142857,28,1192
"301","1987-01",2.82,60.1714285714286,43.7142857142857,51.9428571428571,70,1686
"302","1987-02",4.45,64.5,49.1785714285714,56.8392857142857,39,1295
"303","1987-03",0.41,71.8214285714286,51.6071428571429,61.7142857142857,39,1491
"304","1987-04",0.06,77.8928571428572,52.2857142857143,65.0892857142857,22,1095
"305","1987-05",6.16,84.6857142857143,68.3714285714286,76.5285714285714,45,1587
"306","1987-06",7.59,88.3571428571428,74.4285714285714,81.3928571428571,22,1282
"307","1987-07",10.37,90.3214285714286,76.0714285714286,83.1964285714286,19,901
"308","1987-08",1.16,94.3428571428571,76.7142857142857,85.5285714285714,41,1514
"309","1987-09",3.42,88.5,70.9285714285714,79.7142857142857,36,1337
"310","1987-10",1.23,79.9142857142857,60.5714285714286,70.2428571428571,26,1314
"311","1987-11",3.06,71.8214285714286,52.4642857142857,62.1428571428572,26,1327
"312","1987-12",2.85,66.7857142857143,49.5714285714286,58.1785714285714,41,1724
"313","1988-01",1.66,56.6857142857143,39.9428571428571,48.3142857142857,51,1285
"314","1988-02",0.63,63.0357142857143,45.5357142857143,54.2857142857143,90,1688
"315","1988-03",3.41,70.9642857142857,51.7142857142857,61.3392857142857,42,1332
"316","1988-04",3.81,77.4,58.3142857142857,67.8571428571428,52,1702
"317","1988-05",0.43,83.6428571428572,63.9642857142858,73.8035714285714,26,1428
"318","1988-06",2.58,88.1785714285714,70.6785714285714,79.4285714285714,35,1108
"319","1988-07",3.92,90.8571428571429,75.0571428571429,82.9571428571428,41,1566
"320","1988-08",1.15,93.6071428571429,76.6785714285714,85.1428571428572,32,1420
"321","1988-09",3.06,88.9642857142857,73.1785714285714,81.0714285714286,22,1136
"322","1988-10",3.3,82.8285714285714,64.2285714285714,73.5285714285714,49,1653
"323","1988-11",2.05,76.9642857142857,58.8214285714286,67.8928571428572,27,1009
