"","MONTH","Pneumonia.and.Influenza.Deaths","All.Deaths","PRCP","TAVG","TMAX","TMIN"
"150","1974-06",26,1188,2.06,81,90,71.9
"151","1974-07",16,999,4.99,83.3,92.8,73.8
"152","1974-08",22,1117,8.83,82.9,91.1,74.6
"153","1974-09",13,965,4.48,76.5,84.7,68.3
"154","1974-10",13,1002,6,73.2,83.3,63.1
"155","1974-11",19,1213,7.14,61.9,71.1,52.8
"156","1974-12",26,1079,3.19,56.2,66.1,46.3
"157","1975-01",32,1061,3.48,58.6,68.4,48.7
"158","1975-02",55,1164,1.02,57.4,68.1,46.7
"159","1975-03",27,1380,2.33,63,72.3,53.6
"160","1975-04",27,1007,4.66,69.4,77.3,61.4
"161","1975-05",17,1092,7.14,77.1,85,69.1
"162","1975-06",25,1019,10.06,81.4,89.9,72.8
"163","1975-07",19,996,2.79,83,92,74
"164","1975-08",22,1248,7.52,82,90.2,73.8
"165","1975-09",22,966,0.64,77.3,87.1,67.5
"166","1975-10",19,981,6.21,71.3,82.6,60.1
"167","1975-11",21,1076,1.5,62.3,73.9,50.8
"168","1975-12",27,971,1.73,54.2,64.2,44.2
"169","1976-01",36,1534,2.09,52.4,64,40.9
"170","1976-02",31,1027,0.43,61.5,73.5,49.4
"171","1976-03",74,1258,3.41,64.3,72.2,56.3
"172","1976-04",22,1019,3.52,69.9,79,60.7
"173","1976-05",25,1447,3.85,72.5,82.9,62
"174","1976-06",18,943,15.5,79.4,88.1,70.6
"175","1976-07",19,1319,10.35,82.1,89.7,74.5
"176","1976-08",22,1158,3.78,82.9,92.9,72.9
"177","1976-09",17,953,7.43,79,88,70
"178","1976-10",18,1119,4.81,62.2,71.8,52.6
"179","1976-11",12,966,6.81,53.7,62.8,44.7
"180","1976-12",18,1200,7.68,50.7,60.3,41.2
"181","1977-01",28,1558,3.6,44.9,53.7,36
"182","1977-02",22,1175,2.75,55.2,65.8,44.6
"183","1977-03",26,1096,3.01,62.7,72.4,53
"184","1977-04",15,1335,4.97,68.2,78.6,57.8
"185","1977-05",10,996,1.98,76.4,86.1,66.8
"186","1977-06",12,1073,3.99,83,92.3,73.7
"187","1977-07",13,1231,3.74,84.2,93.8,74.6
"188","1977-08",16,1085,3.33,84.8,92.8,76.9
"189","1977-09",14,1018,4.89,82,91.5,72.5
"190","1977-10",11,1312,1.16,72,83.1,60.8
"191","1977-11",13,1052,6.75,63.8,73.9,53.7
"192","1977-12",14,1321,1.61,55.3,65.9,44.8
"193","1978-01",18,1122,8.12,43.4,50.2,36.5
"194","1978-02",31,1276,3.26,46.3,55.1,37.4
"195","1978-03",32,1355,0.87,58.7,71,46.5
"196","1978-04",17,1358,0.91,68.7,78.5,59
"197","1978-05",17,1037,2.88,77.6,88.4,66.9
"198","1978-06",12,1169,4.76,81.8,90.8,72.7
"199","1978-07",12,1234,2.82,84.1,93.5,74.8
"200","1978-08",10,1085,2.66,83.7,93.1,74.2
"201","1978-09",26,1322,8.09,79.7,87.2,72.2
"202","1978-10",10,979,0,70.4,82.5,58.3
"203","1978-11",18,1090,7.88,64.8,74.1,55.6
"204","1978-12",26,1341,2.23,53.8,64.4,43.2
"205","1979-01",16,1141,5.54,44.4,52.6,36.2
"206","1979-02",38,1289,4.53,51.6,60.8,42.5
"207","1979-03",34,1341,7.93,62.8,72.9,52.8
"208","1979-04",26,1233,5.87,69.8,77.9,61.7
"209","1979-05",26,1224,4.99,73.3,83,63.5
"210","1979-06",30,1406,6.75,80.3,88.7,71.8
"211","1979-07",16,1043,17.26,82.2,89.8,74.7
"212","1979-08",19,1150,5.49,82.3,90.6,74
