"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00116616","PARK FOREST, IL US","1962-06-01","0.00","69","52"
"USC00116616","PARK FOREST, IL US","1962-06-02","0.00","58","48"
"USC00116616","PARK FOREST, IL US","1962-06-03","0.00","72","49"
"USC00116616","PARK FOREST, IL US","1962-06-04","0.00","82","64"
"USC00116616","PARK FOREST, IL US","1962-06-05","0.00","85","56"
"USC00116616","PARK FOREST, IL US","1962-06-06","0.08","72","55"
"USC00116616","PARK FOREST, IL US","1962-06-07","0.00","80","57"
"USC00116616","PARK FOREST, IL US","1962-06-08","0.49","87","59"
"USC00116616","PARK FOREST, IL US","1962-06-09","0.35","82","60"
"USC00116616","PARK FOREST, IL US","1962-06-10","0.35","82","65"
"USC00116616","PARK FOREST, IL US","1962-06-11","0.00","81","56"
"USC00116616","PARK FOREST, IL US","1962-06-12","0.00","69","51"
"USC00116616","PARK FOREST, IL US","1962-06-13","0.00","72","45"
"USC00116616","PARK FOREST, IL US","1962-06-14","0.00","80","48"
"USC00116616","PARK FOREST, IL US","1962-06-15","0.00","85","57"
"USC00116616","PARK FOREST, IL US","1962-06-16","0.00","88","63"
"USC00116616","PARK FOREST, IL US","1962-06-17","0.00","93",
"USC00116616","PARK FOREST, IL US","1962-06-18","0.00","94",
"USC00116616","PARK FOREST, IL US","1962-06-19","0.00","74","59"
"USC00116616","PARK FOREST, IL US","1962-06-20","0.00","81","52"
"USC00116616","PARK FOREST, IL US","1962-06-21","0.00","85","55"
"USC00116616","PARK FOREST, IL US","1962-06-22","0.00","89",
"USC00116616","PARK FOREST, IL US","1962-06-23","1.69","87","62"
"USC00116616","PARK FOREST, IL US","1962-06-24","0.00","79","65"
"USC00116616","PARK FOREST, IL US","1962-06-25","0.00","89","60"
"USC00116616","PARK FOREST, IL US","1962-06-26","0.00","78","61"
"USC00116616","PARK FOREST, IL US","1962-06-27","0.00","88","60"
"USC00116616","PARK FOREST, IL US","1962-06-28","0.00","92","64"
"USC00116616","PARK FOREST, IL US","1962-06-29","0.00","89",
"USC00116616","PARK FOREST, IL US","1962-06-30","0.39",,"67"
"USC00116616","PARK FOREST, IL US","1962-07-01","0.00","85","60"
"USC00116616","PARK FOREST, IL US","1962-07-02","0.63","76","69"
"USC00116616","PARK FOREST, IL US","1962-07-03","0.00","76","66"
"USC00116616","PARK FOREST, IL US","1962-07-04","0.00","78","63"
"USC00116616","PARK FOREST, IL US","1962-07-05","0.00","82","63"
"USC00116616","PARK FOREST, IL US","1962-07-06","0.00","87","66"
"USC00116616","PARK FOREST, IL US","1962-07-07","0.00","93","66"
"USC00116616","PARK FOREST, IL US","1962-07-08","0.00","87","69"
"USC00116616","PARK FOREST, IL US","1962-07-09","0.00","76","58"
"USC00116616","PARK FOREST, IL US","1962-07-10","0.00","84","52"
"USC00116616","PARK FOREST, IL US","1962-07-11","0.79","89","63"
"USC00116616","PARK FOREST, IL US","1962-07-12","0.00","90","63"
"USC00116616","PARK FOREST, IL US","1962-07-13","0.68","84","63"
"USC00116616","PARK FOREST, IL US","1962-07-14","0.40","75","62"
"USC00116616","PARK FOREST, IL US","1962-07-15","0.30","67","62"
"USC00116616","PARK FOREST, IL US","1962-07-16","0.00","68","62"
"USC00116616","PARK FOREST, IL US","1962-07-17","0.00","76","58"
"USC00116616","PARK FOREST, IL US","1962-07-18","0.00","80","58"
"USC00116616","PARK FOREST, IL US","1962-07-19","0.00","84","57"
"USC00116616","PARK FOREST, IL US","1962-07-20","0.67","82","65"
"USC00116616","PARK FOREST, IL US","1962-07-21","0.02","80","66"
"USC00116616","PARK FOREST, IL US","1962-07-22","0.50","83","61"
"USC00116616","PARK FOREST, IL US","1962-07-23","0.00","77","60"
"USC00116616","PARK FOREST, IL US","1962-07-24","0.00","83","61"
"USC00116616","PARK FOREST, IL US","1962-07-25","0.00","83","59"
"USC00116616","PARK FOREST, IL US","1962-07-26","0.00","75","48"
"USC00116616","PARK FOREST, IL US","1962-07-27","0.00","78","50"
"USC00116616","PARK FOREST, IL US","1962-07-28","0.90","71","60"
"USC00116616","PARK FOREST, IL US","1962-07-29","0.00","71","64"
"USC00116616","PARK FOREST, IL US","1962-07-30","0.00","83","55"
"USC00116616","PARK FOREST, IL US","1962-07-31","0.00","75","58"
"USC00116616","PARK FOREST, IL US","1962-08-01","0.00","84","56"
"USC00116616","PARK FOREST, IL US","1962-08-02","0.00","85","58"
"USC00116616","PARK FOREST, IL US","1962-08-03","0.00","87","63"
"USC00116616","PARK FOREST, IL US","1962-08-04","0.00","86","66"
"USC00116616","PARK FOREST, IL US","1962-08-05","0.30","88","60"
